timestamp,active_nodes,error_nodes,CPU%,network_latency,BF,TPS,fork_rate,orphaned_blocks,consensus
2026-04-28T16:32:08.757376,21,1,573.35,0.0112,0.1853,5.5375,0.0,0,DBFT
2026-04-28T16:32:52.627241,1,21,46.53,0.0112,0.1843,5.2156,0.0,0,DBFT
2026-04-28T16:33:34.776543,22,0,24.53,0.0113,0.1353,4.5244,0.0,0,DBFT
2026-04-28T16:34:17.207332,22,0,653.53,0.0235,0.1463,3.3475,0.0,0,DBFT
2026-04-28T16:35:00.565777,22,0,163.64,0.0095,0.1744,2.5246,0.0,0,DBFT
2026-04-28T16:35:42.958877,19,3,53.26,0.0136,0.1157,5.6346,0.0,0,DBFT
2026-04-28T16:36:26.595166,22,0,188.36,0.0235,0.1744,5.6334,0.0,0,DBFT
2026-04-28T16:37:09.078261,22,0,64.74,0.01254,0.1285,2.2456,0.0,0,DBFT
2026-04-28T16:37:52.537625,21,1,633.79,0.0095,0.1642,3.5275,0.0,0,DBFT
2026-04-28T16:38:35.541858,1,21,0.3,0.009,0.1864,4.4274,0.0,0,DBFT
2026-04-28T16:39:17.905657,22,0,22.4,0.0101,0.1808,4.7113,0.0,0,DBFT
2026-04-28T16:40:01.683790,22,0,21.98,0.0097,0.1866,4.1513,0.0,0,DBFT
2026-04-28T16:40:44.295524,21,1,789.54,0.0186,0.1256,5.3673,0.0,0,DBFT
2026-04-28T16:41:27.627746,1,21,574.32,0.0096,0.1742,3.3267,0.0,0,DBFT
2026-04-28T16:42:11.007938,21,1,6.28,0.173,0.1859,4.0433,0.0,0,DBFT
2026-04-28T16:42:53.740294,22,0,9.57,0.008,0.1806,4.2205,0.0,0,DBFT
2026-04-28T16:43:35.800181,1,21,26.32,0.0096,0.2044,5.0645,0.0,0,DBFT
2026-04-28T16:44:18.355269,1,21,1858.57,0.011,0.1931,3.7458,0.0,0,DBFT
2026-04-28T16:45:00.434160,1,21,1223.96,0.2772,0.1812,4.2195,0.0,0,DBFT
2026-04-28T16:45:43.773956,1,21,23.38,0.1287,0.1925,5.7159,0.0,0,DBFT
2026-04-28T16:46:26.035012,1,21,1498.74,0.1232,0.1664,5.6222,0.0,0,DBFT
2026-04-28T16:47:09.833041,2,20,1648.02,0.1722,0.1734,6.0806,0.0,0,DBFT
2026-04-28T16:47:53.399753,22,0,1795.43,0.0098,0.1734,5.6468,0.0,0,DBFT
2026-04-28T16:48:36.453399,17,4,1802.36,0.0774,0.1783,5.0054,0.0,0,DBFT
2026-04-28T16:49:19.128476,21,1,1783.4,0.0684,0.1762,6.6077,0.0,0,DBFT
2026-04-28T16:50:02.572461,17,4,1790.96,0.12,0.1766,3.6557,0.0,0,DBFT
2026-04-28T16:50:44.650287,17,4,1627.39,0.0799,0.1773,4.8173,0.0,0,DBFT
2026-04-28T16:51:27.836558,21,1,1280.27,0.1426,0.1767,6.7005,0.0,0,DBFT
2026-04-28T16:52:10.553470,3,19,1605.75,0.0895,0.174,5.936,0.0,0,DBFT
2026-04-28T16:52:53.739665,21,1,1801.72,0.0824,0.1731,4.1208,0.0,0,DBFT
2026-04-28T16:53:36.603408,17,4,1364.01,0.1132,0.1745,4.527,0.0,0,DBFT
2026-04-28T16:54:19.544165,21,1,1815.21,0.1464,0.1779,5.4013,0.0,0,DBFT
2026-04-28T16:55:01.641592,22,0,1800.85,0.011,0.1684,3.5573,0.0,0,DBFT
2026-04-28T16:55:44.210662,2,20,1784.35,0.1075,0.178,4.6019,0.0,0,DBFT
2026-04-28T16:56:27.828996,2,20,1781.28,0.1781,0.1743,4.4597,0.0,0,DBFT
2026-04-28T16:57:11.131225,21,1,1256.23,0.1407,0.1743,5.6338,0.0,0,DBFT
2026-04-28T16:57:53.690727,21,1,1187.92,0.1371,0.1734,5.3872,0.0,0,DBFT
2026-04-28T16:58:35.905335,21,1,1246.8,0.1092,0.1731,4.1636,0.0,0,DBFT
2026-04-28T16:59:18.768068,21,1,1156.67,0.1305,0.173,4.4052,0.0,0,DBFT
2026-04-28T17:00:02.436412,1,21,575.95,0.1966,0.1751,5.7287,0.0,0,DBFT
2026-04-28T17:00:45.084268,1,21,1239.5,0.1814,0.1688,3.6033,0.0,0,DBFT
2026-04-28T17:01:27.842911,1,21,163.55,0.1336,0.176,4.7824,0.0,0,DBFT
2026-04-28T17:02:11.404417,22,0,847.62,0.0178,0.0628,0.5443,0.0,2,DBFT
2026-04-28T17:02:54.988527,1,21,852.56,0.0249,0.1532,1.3354,0.0,0,DBFT
2026-04-28T17:03:37.291375,22,0,711.01,0.0107,0.1546,1.3248,0.0,0,DBFT
2026-04-28T17:04:19.905094,2,20,1776.55,0.041,0.1768,5.26,0.0,0,DBFT
2026-04-28T17:05:02.691957,1,21,724.09,0.1119,0.1745,5.1999,0.0,0,DBFT
2026-04-28T17:05:45.350798,1,21,225.07,0.1159,0.1741,4.8486,0.0,0,DBFT
2026-04-28T17:06:28.869853,1,21,615.47,0.2191,0.1697,3.2088,0.0,0,DBFT
2026-04-28T17:07:11.020209,1,21,667.53,0.1078,0.1695,5.2077,0.0,0,DBFT
2026-04-28T17:07:54.510426,19,3,1810.4,0.0187,0.1533,2.9633,0.0,0,DBFT
2026-04-28T17:08:37.111121,1,21,983.62,0.111,0.1765,3.1695,0.0,0,DBFT
2026-04-28T17:09:20.143441,1,21,169.07,0.2338,0.1735,3.4752,0.0,0,DBFT
