timestamp,active_nodes,error_nodes,CPU%,network_latency,BF,TPS,fork_rate,orphaned_blocks,consensus
2026-05-04T11:22:32.560548,1,21,0.22,0.0104,0.0459,1.6299,0.0455,1,PoA
2026-05-04T11:23:16.131014,22,0,0.82,0.0124,0.1165,3.3557,0.0,3,PoA
2026-05-04T11:23:58.620689,22,0,94.76,0.0095,0.0932,2.9134,0.0,0,PoA
2026-05-04T11:24:41.069266,22,0,0.29,0.0108,0.0933,4.0814,0.0,1,PoA
2026-05-04T11:25:24.492889,22,0,0.26,0.0129,0.0466,1.2824,0.0,2,PoA
2026-05-04T11:26:07.024178,22,0,0.32,0.0116,0.0932,3.2611,0.0,1,PoA
2026-05-04T11:26:49.835744,1,21,0.25,0.0096,0.0699,1.4684,0.0,0,PoA
2026-05-04T11:27:32.615184,22,0,20.67,0.0092,0.1165,4.3821,0.0,1,PoA
2026-05-04T11:28:16.174115,22,0,0.95,0.0093,0.0699,2.261,0.0,2,PoA
2026-05-04T11:28:58.590088,1,21,0.22,0.0094,0.0699,1.8649,0.0,1,PoA
2026-05-04T11:29:42.323107,1,21,0.29,0.0106,0.0699,2.3315,0.0,2,PoA
2026-05-04T11:30:24.841391,22,0,14.03,0.0097,0.0932,2.9835,0.0,1,PoA
2026-05-04T11:31:07.105914,1,21,1.18,0.0105,0.07,2.4251,0.0,0,PoA
2026-05-04T11:31:49.548495,1,21,0.29,0.0099,0.0933,2.5414,0.0,1,PoA
2026-05-04T11:32:33.212473,22,0,1.38,0.0108,0.0931,2.7917,0.0,0,PoA
2026-05-04T11:33:16.021023,20,2,0.25,0.009,0.0699,2.8671,0.0,0,PoA
2026-05-04T11:33:58.617948,1,21,3.35,0.0095,0.0699,2.1448,0.0,1,PoA
2026-05-04T11:34:42.181994,2,20,0.82,0.0097,0.0233,0.3963,0.0,1,PoA
2026-05-04T11:35:25.573231,5,17,4.54,0.0096,0.0233,1.2588,0.0,4,PoA
2026-05-04T11:36:08.025621,1,21,15.25,0.0099,0.0932,2.191,0.0455,5,PoA
2026-05-04T11:36:50.249513,22,0,0.91,0.0102,0.0932,3.1001,0.0,1,PoA
2026-05-04T11:37:32.752407,22,0,0.29,0.0093,0.0932,2.7963,0.0,0,PoA
2026-05-04T11:38:15.425648,21,1,0.29,0.0113,0.0699,1.9342,0.0,0,PoA
2026-05-04T11:38:58.958075,22,0,0.25,0.0097,0.0699,2.0745,0.0,2,PoA
2026-05-04T11:39:41.940224,22,0,5.35,0.0099,0.0932,2.0036,0.0,0,PoA
2026-05-04T11:40:25.245507,21,1,18.94,0.0095,0.0699,1.6308,0.0,0,PoA
2026-05-04T11:41:07.440045,1,21,10.2,0.0103,0.0698,2.0706,0.0,3,PoA
2026-05-04T11:41:50.903987,1,21,0.55,0.0107,0.0699,2.3769,0.0455,2,PoA
2026-05-04T11:42:34.100087,1,21,57.94,0.0134,0.0694,2.2665,0.0455,2,PoA
2026-05-04T11:43:17.327391,22,0,3.11,0.0104,0.0932,3.2393,0.0,2,PoA
2026-05-04T11:43:59.368932,21,1,0.32,0.0107,0.0932,2.2137,0.0,0,PoA
2026-05-04T11:44:42.985434,22,0,0.25,0.0096,0.0932,2.6329,0.0,1,PoA
2026-05-04T11:45:25.513062,21,1,31.69,0.0108,0.1165,3.6594,0.0,0,PoA
2026-05-04T11:46:08.602144,22,0,7.37,0.0105,0.0931,3.2826,0.0,0,PoA
2026-05-04T11:46:52.155567,22,0,4.46,0.0109,0.0699,1.7002,0.0,4,PoA
2026-05-04T11:47:35.277857,22,0,61.04,0.0122,0.0931,3.7483,0.0,0,PoA
2026-05-04T11:48:18.433568,22,0,17.63,0.011,0.0929,2.8322,0.0,1,PoA
2026-05-04T11:49:00.950512,22,0,1.11,0.0126,0.1165,4.2873,0.0,0,PoA
2026-05-04T11:49:44.421654,8,14,0.28,0.0192,0.0699,1.8637,0.0455,1,PoA
2026-05-04T11:50:27.889298,3,19,1.82,0.0282,0.0692,2.3982,0.0,3,PoA
2026-05-04T11:51:10.492052,22,0,0.28,0.011,0.0932,2.9363,0.0,0,PoA
2026-05-04T11:51:52.994141,22,0,0.67,0.0093,0.0932,2.3527,0.0,0,PoA
2026-05-04T11:52:35.040296,22,0,11.11,0.0091,0.093,2.093,0.0,0,PoA
2026-05-04T11:53:17.173381,22,0,0.24,0.0101,0.0932,1.561,0.0,2,PoA
2026-05-04T11:53:59.598408,21,1,28.17,0.0098,0.0699,1.7243,0.0455,0,PoA
2026-05-04T11:54:42.896542,21,1,18.82,0.009,0.0931,2.5844,0.0455,1,PoA
2026-05-04T11:55:26.015700,22,0,0.91,0.0091,0.0932,2.656,0.0,0,PoA
2026-05-04T11:56:08.432671,18,4,3.35,0.0091,0.0466,0.9782,0.0455,0,PoA
2026-05-04T11:56:51.535215,22,0,13.28,0.0098,0.0931,2.8401,0.0,2,PoA
2026-05-04T11:57:34.542821,22,0,0.92,0.0092,0.1164,2.9096,0.0,0,PoA
2026-05-04T11:58:17.663342,21,1,556.82,0.0097,0.0699,2.1662,0.0455,0,PoA
2026-05-04T11:59:00.198245,22,0,7.93,0.0098,0.0929,2.6,0.0,4,PoA
2026-05-04T11:59:42.392929,22,0,1.06,0.0105,0.0932,2.283,0.0,3,PoA
2026-05-04T12:00:26.081346,22,0,0.26,0.0104,0.0931,1.8629,0.0,0,PoA
2026-05-04T12:01:09.842698,22,0,463.01,0.0134,0.0931,2.1422,0.0,0,PoA
2026-05-04T12:01:53.584855,22,0,757.77,0.0109,0.0698,1.7451,0.0,1,PoA
2026-05-04T12:02:37.117352,22,0,21.69,0.0108,0.093,2.5564,0.0,0,PoA
2026-05-04T12:03:19.607987,21,1,787.92,0.0105,0.116,3.0398,0.0,0,PoA
2026-05-04T12:04:02.620753,22,0,1.43,0.0097,0.0925,2.8901,0.0,2,PoA
2026-05-04T12:04:46.310717,19,3,0.84,0.01,0.0466,1.4199,0.0909,1,PoA
2026-05-04T12:05:29.100825,3,19,0.65,0.0103,0.0232,0.4645,0.0909,2,PoA
2026-05-04T12:06:11.167693,22,0,0.25,0.0111,0.0931,2.3039,0.0,5,PoA
