timestamp,active_nodes,error_nodes,CPU%,network_latency,BF,TPS,fork_rate,orphaned_blocks,consensus
2026-04-23T21:17:55.144905,22,0,0.84,0.0106,0.1397,4.237,0.0,0,PoET
2026-04-23T21:18:37.586938,1,21,15.79,0.0104,0.1398,5.0792,0.0,0,PoET
2026-04-23T21:19:19.699906,22,0,0.29,0.0101,0.1165,3.3081,0.0,0,PoET
2026-04-23T21:20:02.036567,22,0,320.42,0.0118,0.1624,6.1476,0.0,0,PoET
2026-04-23T21:20:44.683687,22,0,1.33,0.0106,0.1392,3.224,0.0,0,PoET
2026-04-23T21:21:27.060975,1,21,24.68,0.0087,0.1399,5.502,0.0,0,PoET
2026-04-23T21:22:09.933085,22,0,48.76,0.025,0.0933,4.1745,0.0,0,PoET
2026-04-23T21:22:53.283706,22,0,122.24,0.0109,0.1864,6.3374,0.0,0,PoET
2026-04-23T21:23:36.116510,22,0,1.24,0.0111,0.1395,3.9063,0.0,0,PoET
2026-04-23T21:24:18.221725,22,0,448.78,0.0106,0.1165,3.5654,0.0,0,PoET
2026-04-23T21:25:01.687924,22,0,0.78,0.0107,0.1389,3.4726,0.0,0,PoET
2026-04-23T21:25:45.286987,1,21,34.39,0.01,0.1399,3.7069,0.0,0,PoET
2026-04-23T21:26:29.112184,22,0,0.37,0.0113,0.1166,3.6618,0.0,0,PoET
2026-04-23T21:27:11.203453,22,0,18.24,0.0103,0.1166,4.0344,0.0,0,PoET
2026-04-23T21:27:54.182423,22,0,18.92,0.0103,0.1398,4.6378,0.0,0,PoET
2026-04-23T21:28:36.774713,1,21,148.16,0.0101,0.1381,3.3385,0.0,0,PoET
2026-04-23T21:29:19.831971,22,0,1.09,0.0111,0.1166,2.8451,0.0,0,PoET
2026-04-23T21:30:02.217408,22,0,0.33,0.0111,0.1165,3.2865,0.0,0,PoET
2026-04-23T21:30:44.572497,22,0,5.67,0.0102,0.1166,3.2653,0.0,0,PoET
2026-04-23T21:31:27.888704,22,0,13.19,0.0095,0.1391,3.9423,0.0,0,PoET
2026-04-23T21:32:10.601857,1,21,0.88,0.0969,0.1342,2.9737,0.0,0,PoET
2026-04-23T21:32:53.683864,22,0,3.44,0.0122,0.113,3.7066,0.0,0,PoET
2026-04-23T21:33:37.186480,22,0,876.27,0.0115,0.1165,2.9349,0.0,0,PoET
2026-04-23T21:34:20.136414,1,21,265.61,0.0088,0.1588,3.63,0.0,0,PoET
2026-04-23T21:35:03.830953,22,0,1.06,0.0094,0.1155,2.5869,0.0,0,PoET
2026-04-23T21:35:46.192112,22,0,13.95,0.0095,0.1166,2.916,0.0,0,PoET
2026-04-23T21:36:28.980538,1,21,1.48,0.1354,0.185,3.7693,0.0,0,PoET
2026-04-23T21:37:11.025963,22,0,0.51,0.0111,0.1135,2.1559,0.0,0,PoET
2026-04-23T21:37:53.616310,22,0,16.23,0.0178,0.1166,2.4957,0.0,0,PoET
2026-04-23T21:38:35.888306,2,20,1.72,0.1143,0.1353,2.8179,0.0,0,PoET
2026-04-23T21:39:18.539137,22,0,12.71,0.0099,0.1141,2.7151,0.0,0,PoET
2026-04-23T21:40:02.411495,1,21,40.55,0.1982,0.1397,2.5618,0.0,0,PoET
2026-04-23T21:40:44.779332,22,0,1.57,0.01,0.1169,1.3092,0.0,0,PoET
2026-04-23T21:41:27.799348,22,0,12.33,0.0208,0.1175,1.3636,0.0,0,PoET
2026-04-23T21:42:10.717458,22,0,1386.11,0.0138,0.1157,1.7117,0.0,0,PoET
2026-04-23T21:42:53.254279,22,0,796.68,0.0089,0.1125,1.0796,0.0,0,PoET
2026-04-23T21:43:35.511149,1,21,71.83,0.1197,0.1328,2.2579,0.0,0,PoET
2026-04-23T21:44:17.683863,7,15,0.38,0.0516,0.1116,1.451,0.0,0,PoET
2026-04-23T21:45:00.023576,3,19,0.47,0.0371,0.1153,1.3602,0.0,0,PoET
2026-04-23T21:45:42.380697,22,0,20.17,0.0103,0.1152,1.1984,0.0,0,PoET
2026-04-23T21:46:26.106714,1,21,1880.17,0.0093,0.1127,1.5784,0.0,0,PoET
2026-04-23T21:47:08.323010,1,21,58.43,0.0821,0.1554,1.9312,0.0,0,PoET
2026-04-23T21:47:51.140676,22,0,225.13,0.009,0.1082,1.1033,0.0,0,PoET
2026-04-23T21:48:33.795840,1,21,2.34,0.1378,0.1326,1.6135,0.0,0,PoET
2026-04-23T21:49:17.301743,22,0,44.46,0.0083,0.1569,1.6367,0.0,0,PoET
2026-04-23T21:50:00.012193,1,21,1846.76,0.0091,0.1143,1.7148,0.0,0,PoET
2026-04-23T21:50:42.334770,1,21,29.67,0.1118,0.1124,1.1461,0.0,0,PoET
2026-04-23T21:51:24.725925,1,21,1.3,0.2077,0.1286,1.5001,0.0,0,PoET
2026-04-23T21:52:07.794074,1,21,7.92,0.1571,0.1107,1.1508,0.0,0,PoET
2026-04-23T21:52:50.295732,14,8,0.38,0.0503,0.1115,0.736,0.0,0,PoET
2026-04-23T21:53:34.097509,1,21,44.81,0.1286,0.1158,1.1121,0.0,0,PoET
2026-04-23T21:54:17.648358,22,0,994.98,0.0094,0.1132,0.9732,0.0,0,PoET
2026-04-23T21:55:01.313736,1,21,1875.61,0.0092,0.133,1.2411,0.0,0,PoET
